#,N*,Name,Bayer,Flam,Gould,Var,GJ,LHS,PLX,HIP,Giclas,DM,HD,HR,RA (2000.0),dec (2000.0),Parallax,Plx Err,Parsecs,APM,Pos A,MURAT,MUDEC,U,B,V,R,I,J,H,K,M,RV,Spec,Notes,NS
1348,N34 Vir,,E,59,,,504,,3034,64792,,BD+10 2531,115383,5011,13 16 46.5,+09 25 27.0,0.0558,0.00084,17.92,0.385,299.7,-0.0226,0.1907,,5.76,5.18,4.86,4.55,4.392,4.107,4.033,3.91,-25.9,,B in CNS69 not in CNS91; additional components; CNS69 companion not in CNS91; refuted via 2 DSS,1316+0925
1349,N7 Tel,,,,,,787,,4830,100223,,CD-46 13498,192961,,20 19 36.9,-46 25 41.2,0.05578,0.00129,17.93,0.393,254.7,-0.0367,-0.10354,,9.87,8.71,8,7.41,6.524,5.999,5.785,7.44,29.9,M0/1 V,,2019-4625
1350,N5 CrA,,Gam,,41 G.,,743.1 A,,4431.00 A,93825,,CD-37 13048,177474,,19 06 25.1,-37 03 48.4,0.05577,0.00189,17.93,0.296,160.9,0.0081,-0.27967,,4.71 J,4.19 J,3.88 J,3.59 J,,,,2.92,,F8/G0 V,,1906-3703 A
1351,N5 CrA B,,,,,,743.1 B,,4431.00 B,,,,,,19 06 25.1,-37 03 48.4,0.05577,0.00189,17.93,0.296,160.9,0.0081,-0.27967,,,,,,,,,,,,,1906-3703 B
1352,N3 Col,,,,,,1079,,,25421,,CD-32 2337,35854,,05 26 14.7,-32 30 17.2,0.05576,0.00076,17.93,0.263,110.2,0.0195,-0.09072,,8.68,7.74,,,6.014,5.492,5.386,6.47,22.2,K2/3 V,,0526-3230
1353,N26 Leo,Wolf 369,,,,,418,,,54810,010-007,BD+05 2463,97503,,11 13 13.2,+04 28 56.4,0.05572,0.00129,17.95,0.319,264.1,-0.0212,-0.03258,,9.87,8.69,7.98,7.38,6.553,5.925,5.853,7.42,18.2,,,1113+0428
1354,N11 Per,Ross 29,,,,,165 A,,920,,175-020,,,,04 13 08.2,+50 31 21.5,0.0557,0.0087,17.95,0.458,243,,,,10.65,9.09,8.22,7.44,,,,7.82,,,,0413+5031 A
1355,N11 Per B,,,,,,165 B,,,,,,,,04 13 08.2,+50 31 21.5,0.0557,0.0087,17.95,0.458,243,,,,,,,,,,,,,,,0413+5031 B
1356,N34 Dra,Ross 690,,,,,463,2551,2853,60398,237-063,,,,12 23 00.2,+64 01 51.0,0.0557,0.00204,17.95,0.766,299.4,-0.1016,0.37552,,13.03,11.58,10.58,9.24,7.937,7.343,7.122,10.31,60,M3,,1223+6401
1357,N35 Boo,,,,,,3898,3035,3440.02,,179-020,,,,15 12 39.6,+45 44 06.8,0.0557,0.0134,17.95,0.523,312,,,,14.5,13.35,12.12,10.51,8.98,8.39,8.11,12.08,,,,1512+4544
1358,N6 Vul,,,,,PY,1241,,4609.01,,185-032,,,,19 37 15.5,+27 43 23.2,0.0557,0.0029,17.95,0.405,85,,,,13.14,12.97,12.7,13,13.18,13.21,13.33,11.69,,WD,,1937+2743
1359,N25 Cen,,Iot,,204 G.,,508.1,,3048,65109,,CD-36 8497,115892,5028,13 20 35.8,-36 42 44.3,0.05566,0.00074,17.97,0.352,255.5,-0.0283,-0.08798,,2.79,2.76,2.74,2.74,2.714,2.738,2.757,1.49,0.1,,,1320-3642
1360,N12 Mon,Ross 416,,,,,,,1452.02,,,,,,06 15 01.6,-05 02 29.8,0.0556,0.0122,17.99,0.203,356,,,,,12.5,,,10.036,9.447,9.199,11.22,,,,0615-0502
1361,N1 Cae,,,,,,3317,,,22451,,CD-35 1948,30876,,04 49 52.3,-35 06 27.5,0.05559,0.00071,17.99,0.117,193,-0.0021,-0.11391,,8.39,7.49,,,5.896,5.443,5.334,6.21,21.5,K2 V,,0449-3506
1362,N2 Cae,,,,,,2037,,1109,22907,,CD-28 1839,31560,,04 55 41.9,-28 33 50.1,0.05558,0.0009,17.99,0.295,140.5,0.0142,-0.22755,,9.2,8.12,,,6.19,5.686,5.545,6.84,12.1,K3/4 V,,0455-2833
1363,N18 Aql,,,,,,1240,,4566.01,96085,,BD-11 5030,183870,,19 32 06.7,-11 16 29.7,0.05557,0.0009,18,0.236,85.6,0.016,0.01803,,8.49,7.57,,,5.912,5.451,5.331,6.29,-49.6,K2 V,,1932-1116
1364,N14 Pup,,,,212 G.,,292 A,,1864.00 A,38423,,CD-34 4036,64379,3079,07 52 15.7,-34 42 19.6,0.05555,0.00054,18,0.31,320.2,-0.0161,0.23813,,5.45 J,5.01 J,4.74 J,4.46 J,,,,3.73,,F5 V,,0752-3442 A
1365,N14 Pup B,,,,,,292 B,,1864.00 B,,,,,,07 52 15.7,-34 42 19.6,0.05555,0.00054,18,0.31,320.2,-0.0161,0.23813,,,,,,,,,,,K3,,0752-3442 B
1366,N15 Gem,,,,,,,,,30756,,BD+20 1426,257498,,06 27 46.0,+20 46 59.3,0.05552,0.03389,18.01,0.054,124.4,0.0031,-0.03028,,9.33,8.31,,,6.402,5.854,5.729,7.03,,,,0627+2046
1367,N12 Cap,,,,,,830,509,5174,106147,,BD-13 5945,204587,,21 30 02.8,-12 30 36.3,0.05552,0.0014,18.01,1.048,104.4,0.0693,-0.26051,,10.41,9.1,8.32,7.6,6.656,5.99,5.881,7.82,-86.7,K4/5 V,,2130-1230
1368,N16 Gem,Wasat,Del,55,,,271 A,,1718.00 A,35550,,BD+22 1645,56986,2777,07 20 07.4,+21 58 56.3,0.0555,0.00084,18.02,0.02,247.5,-0.0013,-0.00776,,,,,,,,,,,F1 IV-V,,0720+2158 A
1369,N16 Gem B,,,,,,271 C,,,,,,,,07 20 07.4,+21 58 56.3,0.0555,0.00084,18.02,,,,,,,,,,,,,,,,,0720+2158 B
1370,N16 Gem C,,,,,,271 B,,1718.00 B,,,,,,07 20 07.4,+21 58 56.3,0.0555,0.00084,18.02,0.02,247.5,-0.0013,-0.00776,,,,,,,,,,,K3 V,,0720+2158 C
1371,N9 Scl,,,,,,18,1067,66,1936,266-107,CD-27 108,2025,,00 24 25.9,-27 01 36.4,0.05548,0.00108,18.02,0.673,82.8,0.0499,0.08392,,8.85,7.9,7.36,6.88,6.197,5.707,5.559,6.62,3.7,K2 V,,0024-2701
1372,N26 Cen,,,,191 G.,,503 A,,3017.00 A,64583,,CD-58 4940,114837,4989,13 14 15.2,-59 06 11.7,0.05547,0.00065,18.03,0.294,238.2,-0.0324,-0.1546,,5.39 J,4.91 J,4.63 J,4.35 J,,,,3.63,,F5 V,,1314-5906 A
1373,N26 Cen B,,,,,,503 B,,,,,,,,13 14 15.2,-59 06 11.7,0.05547,0.00065,18.03,0.294,238.2,-0.0324,-0.1546,,,,,,,,,,,,,1314-5906 B
1374,N33 Cet,,,,,,3098,142,319.1,7170,272-036,CD-22 526,,,01 32 26.2,-21 54 18.5,0.05543,0.00208,18.04,1.065,213.5,-0.0423,-0.88825,,12.7,11.21,,,7.977,7.346,7.1,9.92,,,,0132-2154
1375,N41 Her,,,,,,651,3260,3877,83389,,BD+47 2420,154345,,17 02 36.4,+47 04 54.8,0.05543,0.00055,18.04,0.864,8.2,0.0121,0.85467,,7.5,6.74,6.3,6,5.411,5.098,5.003,5.45,-46.2,G8 V,,1702+4704
1376,N29 Oph,,,,73 G.,,652,,3870,83541,,CD-28 12769,154088,,17 04 27.9,-28 34 57.6,0.05541,0.00089,18.05,0.282,162.8,0.0063,-0.26914,,7.41,6.58,6.14,5.76,5.225,4.955,4.758,5.3,15.3,K1 V,,1704-2834
1377,N21 Cam,,,,,,3768,,3031.01,,256-007,,,,13 08 39.5,+85 02 14.3,0.0554,0.0083,18.05,0.331,137,,,,16.76,16,15.9,14.7,14.686,14.459,14.342,14.71,,,,1308+8502
1378,N7 LMi,,,,,,,,,49699,,BD+34 2089,87883,,10 08 43.1,+34 14 32.2,0.05537,0.00094,18.06,0.088,226.9,-0.0052,-0.06028,,8.53,7.56,,,5.839,5.441,5.314,6.27,9.1,,,1008+3414
1379,N8 Phe,,,,,,17.1,1061,57,1696,,CD-46 76,,,00 21 19.6,-45 44 47.1,0.05527,0.00194,18.09,0.818,175.1,0.0067,-0.81544,,11.89,10.4,9.46,8.49,7.412,6.81,6.544,9.11,,,,0021-4544
1380,N4 Col,,,,,,225.2 A,1804,1392.00 A,28442,,CD-31 2902,40887,,06 00 19.5,-31 01 43.3,0.05527,0.00178,18.09,1.083,339.5,-0.0295,1.01519,,,,,,,,,,,K3/4 V,D optical in CNS91,0600-3101 A
1381,N4 Col B,,,,,,225.2 C,,,,,,,,06 00 19.5,-31 01 43.3,0.05527,0.00178,18.09,1.083,339.5,-0.0295,1.01519,,,,,,,,,,,,,0600-3101 B
1382,N4 Col C,,,,,,225.2 B,,,,,,,,06 00 19.5,-31 01 43.3,0.05527,0.00178,18.09,1.083,339.5,-0.0295,1.01519,,,,,,,,,,,,,0600-3101 C
1383,N14 Cnc,,Chi,18,,,303,,1979,40843,,BD+27 1589,69897,3262,08 20 03.9,+27 13 03.7,0.05525,0.00093,18.1,0.377,182.8,-0.0014,-0.37626,,5.61,5.1,4.8,4.6,4.127,3.942,3.868,3.81,32.5,F6 V,,0820+2713
1384,N30 Oph,,,,,,3998,,,84460,139-023,BD+11 3149,,,17 16 00.6,+11 03 27.6,0.05524,0.00222,18.1,0.375,201.5,-0.0094,-0.34904,,12.2,11.02,10.3,9.8,7.634,7.02,6.816,9.73,,,,1716+1103
1385,N24 Ori,,,,,V1357,230,,1435,29525,,BD+10 1050,42807,2208,06 13 12.5,+10 37 37.7,0.05523,0.00095,18.11,0.307,165.3,0.0053,-0.2971,,7.12,6.44,6,5.7,5.25,5.01,4.85,5.15,3,G2 V,,0613+1037
1386,N35 Vir,,,70,,,512.1,2740,3076,65721,,BD+14 2621,117176,5072,13 28 25.8,+13 46 43.7,0.05521,0.00073,18.11,0.622,202.2,-0.0161,-0.57619,,5.69,5,4.5,4.2,3.8,3.46,3.5,3.71,4.9,,,1328+1346
1387,N10 For,,,,,,1054 A,,,14555,,CD-28 1030,,,03 07 55.8,-28 13 11.0,0.0552,0.0025,18.12,0.36,250.6,-0.0257,-0.11954,,,,,,,,,,,M1.0 V,Used Makarov (2008) plx,0307-2813 A
1388,N10 For B,,,,,,1054 B,,,,,,,,03 07 55.8,-28 13 11.0,0.0552,0.0025,18.12,,,,,,,,,,,,,,,,Used Makarov (2008) plx,0307-2813 B
1389,N42 Her,,,14,,,614,,3677,79248,180-035,BD+44 2549,145675,,16 10 24.3,+43 49 03.5,0.05513,0.00059,18.14,0.326,156.1,0.0122,-0.29838,,7.57,6.67,6.1,5.6,5.158,4.803,4.714,5.37,-5.5,K0 V,,1610+4349
1390,N17 Gem,,Rho,62,,,274 A,,1760.00 A,36366,,BD+32 1562,58946,2852,07 29 06.7,+31 47 04.4,0.05512,0.00074,18.14,0.251,39.4,0.0125,0.19382,,,,,,,,,,,,SB? in CNS91;,0729+3147 A
1391,N17 Gem B,,,,,V376,273.1,,1758,36357,090-001,BD+32 1561,,,07 29 01.8,+31 59 37.8,0.05512,0.00074,18.14,0.237,42.6,0.0126,0.17468,,,,,,,,,,,,,0729+3147 B
1392,N17 Gem C,,,,,,274 B,,,,,,,,07 29 06.7,+31 47 04.4,0.05512,0.00074,18.14,0.251,39.4,0.0125,0.19382,,,,,,,,,,,,,0729+3147 C
1393,N31 Oph,,,,,,3973,,,82283,,,,,16 48 46.0,-15 44 20.2,0.05509,0.00222,18.15,0.223,182.2,-0.0006,-0.22304,,12.44,10.94,,,,,,9.64,,,,1648-1544
1394,N32 Oph,,,,,,4008,,,85561,,CD-23 13396,158233,,17 29 06.6,-23 50 10.0,0.05503,0.00168,18.17,0.297,255.5,-0.0209,-0.0744,,10.8,9.4,,,7.177,6.567,6.39,8.1,,K5 V,,1729-2350
1395,N10 Scl,,,,,,1009,,,1734,,,,,00 21 56.0,-31 24 21.9,0.05491,0.00219,18.21,0.209,162.8,0.0048,-0.20007,13.803,12.64,11.16,10.124,8.924,7.674,7.052,6.785,9.85,,,,0021-3124
1396,N4 Men,,Pi,,29 G.,,9189,208,1340,26394,,CD-80 195,39091,2022,05 37 09.9,-80 28 08.8,0.05491,0.00045,18.21,1.096,16.5,0.1256,1.05019,,6.25,5.67,,,,,,4.36,9.4,G1 V,,0537-8028
1397,N22 Cam,,,,,,153 A,,778.00 A,17749,221-023,BD+68 278,23189,,03 48 01.0,+68 40 22.3,0.0549,0.002,18.21,0.271,27.8,0.0232,0.23969,,,,,,,,,,,,HIP 17750 optical;,0348+6840 A
1398,N22 Cam B,,,,,,153 B,,778.00 B,,221-024,,,,03 48 01.0,+68 40 22.3,0.0549,0.002,18.21,0.271,27.8,0.0232,0.23969,,,,,,,,,,,,,0348+6840 B
1399,N22 Cam C,,,,,,153 C,,,,,,,,03 48 01.0,+68 40 22.3,0.0549,0.002,18.21,0.271,27.8,0.0232,0.23969,,,,,,,,,,,,,0348+6840 C
1400,N15 Pup,,,,,,293.2,,1888,38939,,CD-25 5342,65486,,07 58 04.4,-25 37 35.9,0.0549,0.00114,18.21,0.438,124.1,0.0268,-0.24589,,9.45,8.4,7.8,7.27,6.506,5.944,5.833,7.1,-5.1,K3 V,,0758-2537
1401,N27 Leo,,,,,,3643,2348,,54227,056-013,,,,11 05 43.1,+10 14 09.5,0.0549,0.00462,18.21,0.933,138.5,0.0419,-0.69839,,13.96,12.37,11.28,9.92,8.643,8.049,7.797,11.07,,,,1105+1014
1402,N4 Crv,,Eta,8,31 G.,,471.2,,2887,61174,,BD-15 3489,109085,4775,12 32 04.2,-16 11 45.6,0.05489,0.00066,18.22,0.428,262.2,-0.0295,-0.05841,,4.67,4.3,4.07,3.86,3.609,3.372,3.372,3,-3.5,,,1232-1611
1403,N3 Ret,,Eps,,27 G.,,167.3,,958,19921,,CPD-59 324,27442,1355,04 16 29.0,-59 18 07.8,0.05486,0.0005,18.23,0.175,196,-0.0063,-0.16781,,5.5,4.44,3.87,3.39,,,,3.14,29.3,K1/2 III,,0416-5918
1404,N9 Ari,Sharatan,Bet,6,,,80 A,,394,8903,,BD+20 306,11636,553,01 54 38.4,+20 48 28.9,0.05485,0.00075,18.23,0.145,138.5,0.0069,-0.1088,,,,,,,,,,,,SB 107 days in YPC,0154+2048 A
1405,N9 Ari B,,,,,,80 B,,,,,,,,01 54 38.4,+20 48 28.9,0.05485,0.00075,18.23,0.145,138.5,0.0069,-0.1088,,,,,,,,,,,,,0154+2048 B
1406,N25 Cas,,,,,V989,90,1371,452,10531,244-056,BD+67 191,13579,,02 15 42.6,+67 40 20.2,0.05485,0.00119,18.23,0.605,121.7,0.0904,-0.31806,,8.1,7.19,6.68,6.28,5.66,5.2,5.14,5.89,-13.7,,HIP 10529 optical; modified HIP parallax on web,0215+6740
1407,N23 Peg,,,,,,4225,3713,5268.01,,188-026,,,,21 48 14.2,+27 54 56.7,0.0548,0.0044,18.25,0.708,196,,,,13.55,11.99,10.97,9.73,8.51,7.93,7.69,10.68,-15.6,,,2148+2754
1408,N8 Vel,,Psi,,140 G.,,351 A,,2268.00 A,46651,,CD-39 5580,82434,3786,09 30 42.0,-40 28 00.4,0.05476,0.00089,18.26,0.155,288.3,-0.0129,0.04865,,3.94 J,3.58 J,3.36 J,3.15 J,,,,2.27,,,,0930-4028 A
1409,N8 Vel B,,,,,,351 B,,2268.00 B,,,,,,09 30 42.0,-40 28 00.4,0.05476,0.00089,18.26,0.155,288.3,-0.0129,0.04865,,,,,,,,,,,F0 IV,,0930-4028 B
1410,N10 Ari,,,,,,3221,,707.01,,005-032,,,,03 23 20.7,+11 41 11.5,0.0547,0.0024,18.28,0.275,241,,,,13.76,12.2,11,9.6,8.39,7.8,7.56,10.88,,,,0323+1141
1411,N13 Mon,,,,,,3398,1857,1536.01,,105-046,,,,06 36 07.6,+11 36 04.4,0.0547,0.0024,18.28,0.901,190,,,,15.87,14.24,13,11.35,9.79,9.31,8.99,12.93,,,,0636+1136
1412,N8 CMi,,,,,,1102 A,240,1850.01 A,,,,,,07 50 15.2,+07 10 19.3,0.0547,0.0007,18.28,1.778,173,,,,,,,,,,,,,WD,,0750+0710 A
1413,N8 CMi B,,,,,,1102 B,239,1850.01 B,,,,,,07 50 15.2,+07 10 19.3,0.0547,0.0007,18.28,1.778,173,,,,,,,,,,,,,WD,,0750+0710 B
1414,N48 UMa,,,15 LMi,,,368,,2316,48113,,BD+46 1551,84737,3881,09 48 35.4,+46 01 15.6,0.0547,0.00073,18.28,0.241,112.6,0.0213,-0.09262,,5.71,5.1,4.7,4.4,3.961,3.725,3.609,3.78,5.2,G0.5 Va,,0948+4601
1415,N9 Vel,,,,,,2072,,,42881,,CD-44 4756,,,08 44 23.1,-44 28 21.1,0.05468,0.00389,18.29,0.173,52.9,0.0129,0.10433,,,,,,,,,,,,,0844-4428 A
1416,N9 Vel B,,,,,,,,,,,,,,08 44 23.1,-44 28 21.1,0.05468,0.00389,18.29,0.173,52.9,0.0129,0.10433,,,,,,,,,,,,from HIP; imaged companion in HIP,0844-4428 B
1417,N43 Her,,,,,,1203,3213,3762.02,81018,138-039,,,,16 32 45.2,+12 36 46.0,0.05466,0.00295,18.29,0.779,259.7,-0.0524,-0.1392,,13.6,12.13,10.7,,8.429,7.902,7.675,10.81,,K-M,,1632+1236
1418,N16 Pup,,,,,,1106,,,38910,,CD-33 4354,,,07 57 48.5,-33 57 07.8,0.05462,0.00431,18.31,0.334,24.2,0.011,0.30456,,10,8.84,,,6.626,6.045,5.909,7.52,,,,0757-3357
1419,N31 Hya,,,,,LQ,355,,2273.1,46816,161-045,BD-10 2857,82558,,09 32 25.6,-11 11 04.7,0.05456,0.00098,18.33,0.251,278,-0.0169,0.03508,,8.76,7.84,7.31,6.8,6.075,5.596,5.449,6.52,14,K1 Vp,,0932-1111
1420,N16 Cep,,,,,,1010 A,1065,61.01 A,1860,242-051,,,,00 23 28.8,+77 11 21.5,0.05453,0.00225,18.34,0.842,273.1,-0.2528,0.04538,,,11.31,10.32,9.18,,,,9.99,,K-M,,0023+7711 A
1421,N16 Cep B,,,,,,1010 B,1066,61.01 B,,242-052,,,,00 23 28.8,+77 11 21.5,0.05453,0.00225,18.34,0.842,273.1,-0.2528,0.04538,,,14.1,12.9,11.37,,,,12.78,,M,,0023+7711 B
1422,N15 Cnc,Ross 620,,,,,3488,,,40375,050-027,BD+13 1870,68834,,08 14 35.9,+13 01 22.1,0.05453,0.00126,18.34,0.434,282.9,-0.0289,0.09696,,10.06,8.86,8,7.5,6.62,6.04,5.891,7.54,,,,0814+1301
1423,N44 Her,,,,,,1199,3163,3675.01,,138-008,,,,16 11 25.9,+13 21 42.4,0.0545,0.0047,18.35,0.541,181,,,,15.33,15.1,15.2,14.9,14.86,14.78,14.86,13.78,26.4,WD,,1611+1321
1424,N11 For,,,,,,131,,676.1,15095,,CD-26 1207,20280,,03 14 44.6,-26 26 46.5,0.05449,0.00138,18.35,0.237,65.6,0.0161,0.09795,,10.38,9.12,8.38,7.73,6.86,6.267,6.067,7.8,14.9,K5 V,,0314-2626
1425,N24 Peg,,,,,HN,836.7,,5246.1,107350,,BD+14 4668,206860,8314,21 44 31.3,+14 46 19.0,0.05446,0.00085,18.36,0.257,116.1,0.0159,-0.11345,,6.53,6,5.6,5.3,4.79,4.6,4.56,4.68,-18.9,G0 V,,2144+1446
1426,N3 Equ,,Del,7,19 G.,,822 A,,5107.00 A,104858,,BD+09 4746,202275,8123,21 14 28.8,+10 00 25.1,0.05441,0.00064,18.38,0.306,172.1,0.0029,-0.30343,,4.97 J,4.47 J,4.18 J,3.90 J,,,,3.15,,,"SB 5.70 yrs in YPC; additional components in YP; CNS91 ""SB"" is the AB orbit",2114+1000 A
1427,N3 Equ B,,,,,,822 B,,,,,,,,21 14 28.8,+10 00 25.1,0.05441,0.00064,18.38,0.306,172.1,0.0029,-0.30343,,,,,,,,,,,,,2114+1000 B
1428,N26 Cas,Wolf 33,,,,,38,126,169,4012,218-017,BD+58 484,,,00 51 29.8,+58 18 07.3,0.05436,0.0018,18.4,1.618,75.5,0.1988,0.40519,,12.09,10.67,9.8,8.89,7.83,7.24,7.05,9.35,-19.4,M2,,0051+5818
1429,N9 Car,,,,,,260,,1654.1,33690,,CD-61 1535,53143,,06 59 59.7,-61 20 10.3,0.05434,0.00054,18.4,0.31,328.6,-0.0224,0.26454,,7.64,6.84,6.41,6.02,5.459,5.097,4.987,5.52,21.3,K1 V,,0659-6120
1430,N35 Dra,,,,,,,2405,2641.01,,253-050,,,,11 25 17.1,+78 16 44.1,0.0543,0.0117,18.42,0.661,253,,,,13.62,12.15,11.16,9.94,,,,10.82,,,,1125+7816 A
1431,N35 Dra B,,,,,,,2404,,,253-049,,,,11 25 17.1,+78 16 44.1,0.0543,0.0117,18.42,,,,,,14.14,12.63,11.61,10.33,,,,11.3,,,,1125+7816 B
1432,N13 Sco,,,,,,,,,84084,,,,,17 11 24.7,-38 24 34.2,0.05425,0.05624,18.43,0.107,72.6,0.0087,0.03197,,,12,,,11.026,10.771,10.677,10.67,,,,1711-3824
1433,N12 Per,,,,,,158,21,887,18915,,BD+34 796,25329,,04 03 15.0,+35 16 23.8,0.0542,0.00086,18.45,2.206,128.2,0.1415,-1.3655,,9.37,8.504,8,7.6,6.77,6.3,6.2,7.17,-30,K1 V,,0403+3516
1434,N14 Mon,,,,,,3410,,1588.02,,108-026,,,,06 47 20.4,+02 31 08.2,0.0542,0.0055,18.45,0.436,275,,,,16,15.68,15.7,15.3,14.87,14.76,14.58,14.34,,WD,,0647+0231
1435,N28 Leo,,,,,,1146,301,2633.01,,010-017,,,,11 21 36.0,+06 06 49.3,0.0542,0.0042,18.45,1.749,206,,,,14.8,13.57,12.49,11.11,9.766,9.264,8.969,12.24,,,,1121+0606
1436,N23 Cam,,,,,,161,,900,19422,247-013,BD+69 238,25665,,04 09 35.0,+69 32 29.0,0.05419,0.00079,18.45,0.307,166.2,0.0139,-0.29847,,8.672,7.697,7.1,6.7,5.989,5.539,5.457,6.36,-10.8,K2,,0409+6932
1437,N9 Phe,,,,,,4353,,,116645,,CD-42 16413,,,23 38 17.4,-41 31 03.7,0.05415,0.00339,18.47,0.289,133.3,0.0187,-0.1981,14.644,13.486,11.934,10.89,9.623,8.361,7.733,7.494,10.6,,,,2338-4131
1438,N36 Vir,,,,,,2102,2754,3095.02,66147,062-049,BD+09 2776,117936,,13 33 32.4,+08 35 12.3,0.05411,0.00102,18.48,0.515,280.6,-0.0341,0.09449,,8.99,7.99,7.3,6.9,6.121,5.613,5.493,6.65,,K0,,1333+0835
1439,N3 Sct,Wolf 1466,,,,,723,3400,4299,91557,155-030,,,,18 40 17.8,-10 27 54.9,0.05411,0.00718,18.48,0.552,198,-0.0115,0.52519,,13.02,11.47,10.46,9.38,8.262,7.689,7.46,10.14,,,,1840-1027
1440,N16 Cnc,,,,,,315,2033,2065,42499,009-013,BD+12 1888,73667,,08 39 50.8,+11 31 21.6,0.05403,0.00101,18.51,0.512,192.3,-0.0074,-0.49989,,8.47,7.64,7.1,6.7,5.989,5.556,5.439,6.3,-13.4,,,0839+1131
1441,N17 Cnc,,,,,,1120 A,,2156.00 A,44295,009-043,BD+15 1957,77175,,09 01 17.5,+15 15 56.7,0.05401,0.00278,18.52,0.342,201.7,-0.0087,-0.31778,,,,,,,,,,,K5,,0901+1515 A
1442,N17 Cnc B,,,,,,1120 B,,2156.00 B,,041-016,,,,09 01 17.5,+15 15 56.7,0.05401,0.00278,18.52,0.342,201.7,-0.0087,-0.31778,,,,,,,,,,,K5,,0901+1515 B
1443,N14 Sco,,,,,,610,5312,3641,78843,,BD-20 4399,144253,,16 05 40.5,-20 27 00.2,0.05401,0.0011,18.52,0.466,140.5,0.0211,-0.35935,,8.46,7.4,6.78,6.27,5.532,4.983,4.856,6.06,34,K3/4 V,,1605-2027
1444,N36 Dra,,,,,,,,,84616,,BD+52 2045,156985,,17 17 50.4,+52 26 49.6,0.05397,0.00068,18.53,0.196,174.9,0.0019,-0.19516,,8.988,7.957,7.3,6.8,6.128,5.649,5.564,6.61,,,,1717+5226
1445,N15 CVn,,,,,,509 A,2728,3061.00 A,65343,164-071,BD+29 2405,116495,,13 23 32.8,+29 14 14.9,0.05396,0.002,18.53,0.528,297.6,-0.0358,0.24468,,10.25,8.89,8.06,7.25,,,,7.55,,M0,,1323+2914 A
1446,N15 CVn B,,,,,,509 B,,3061.00 B,,,,,,13 23 32.8,+29 14 14.9,0.05396,0.002,18.53,0.528,297.6,-0.0358,0.24468,,,,,,,,,,,K6,,1323+2914 B
1447,N11 Ari,,,,,,106 A,,551,12709,036-030,BD+18 339,16909,,02 43 20.9,+19 25 45.3,0.0539,0.00127,18.55,0.435,92,0.0307,-0.0155,,,,,,,,,,,,SB 1214 days in YPC; SB1 in Gri85,0243+1925 A
1448,N11 Ari B,,,,,,106 B,,,,,,,,02 43 20.9,+19 25 45.3,0.0539,0.00127,18.55,0.435,92,0.0307,-0.0155,,,,,,,,,,,,spectroscopic companion,0243+1925 B
1449,N15 Mon,,,,,,1094,,1649.02,33955,,BD-06 1902,52919,,07 02 42.9,-06 47 57.2,0.05389,0.0011,18.56,0.372,212.7,-0.0135,-0.31335,,9.43,8.34,,,6.446,5.867,5.755,6.99,,K4 V,,0702-0647
1450,N11 Com,,,,,,499 A,,2993.10 A,63942,,BD+21 2486,,,13 06 15.4,+20 43 45.3,0.05389,0.00235,18.56,0.114,333.9,-0.0036,0.10264,,,,,,,,,,,M0,,1306+2043 A
1451,N11 Com B,,,,,,499 B,,,,,,,,13 06 15.4,+20 43 45.3,0.05389,0.00235,18.56,0.114,333.9,-0.0036,0.10264,,,,,,,,,,,,,1306+2043 B
1452,N18 Gem,,,,,,254,,1624,33428,087-016,BD+30 1367A,266611,,06 57 04.7,+30 45 23.3,0.05388,0.00185,18.56,0.239,159.9,0.0064,-0.22457,,11.14,9.75,8.9,8,7.097,6.437,6.28,8.4,-14,K7,,0657+3045
1453,N25 Peg,,,,,,,,,117042,,BD+18 5200,222788,,23 43 34.7,+19 07 47.5,0.05388,0.0324,18.56,0.021,165.9,0.0004,-0.02038,,9.5,9.13,,,8.275,8.099,8.055,7.78,,,,2343+1907
1454,N27 Cas,,,,,,41,,174,4151,,BD+60 124,5015,244,00 53 04.2,+61 07 26.3,0.05387,0.0006,18.56,0.183,338,-0.0094,0.16972,,5.35,4.82,4.4,4.2,3.936,3.681,3.638,3.47,20.7,,,0053+6107
1455,N33 Oph,,,,,V2367,1212,3272,3904.01,84277,,,,,17 13 40.5,-08 25 14.8,0.05384,0.00395,18.57,0.589,225.9,-0.0285,-0.40997,,13.66,12.05,,,8.12,7.512,7.253,10.7,,M1,,1713-0825
1456,N34 Cet,,,,,,,1353,452.01 A,,,,,,02 12 28.8,-08 03 39.3,0.0538,0.0101,18.59,0.788,231,,,,13.16,11.99,11.06,9.9,,,,10.64,,,,0212-0803 A
1457,N34 Cet B,,,,,,,1354,452.01 B,,,,,,02 12 28.7,-08 03 35.3,0.0538,0.0101,18.59,0.776,234,,,,,,,,,,,,,,,0212-0803 B
1458,N32 Hya,,,,,,401 A,289,2512.00 A,52621,,BD-18 3019,,,10 45 39.1,-19 06 51.6,0.0538,0.00629,18.59,1.9,251.8,-0.1273,-0.5947,,12.48 J,11.03 J,10.12 J,9.15 J,,,,9.68,,,,1045-1906 A
1459,N32 Hya B,,,,,,401 B,290,,,,,,,10 45 39.1,-19 06 51.6,0.0538,0.00629,18.59,1.9,251.8,-0.1273,-0.5947,,,,,,,,,,,WD,,1045-1906 B
